id,id_contrat,code,debut,fin
1,5,RTT,2024-09-09,2024-09-10
2,5,CA,2024-09-20,2024-09-20
3,5,RTT,2024-11-06,2024-11-06
4,5,CA,2024-12-16,2024-12-16
5,5,CA,2025-01-13,2025-01-14
6,5,CA,2025-01-21,2025-01-22
7,5,CA,2025-02-19,2025-02-19
8,5,CA,2025-03-03,2025-03-03
9,5,CA,2025-04-08,2025-04-08
10,5,CA,2025-04-16,2025-04-16
11,5,RTT,2025-04-30,2025-04-30
12,5,CA,2025-05-09,2025-05-09
13,5,RTT,2025-07-23,2025-07-23
14,5,CA,2025-07-25,2025-07-25
15,5,CA,2025-08-07,2025-08-07
16,5,RTT,2025-08-07,2025-08-07
17,7,CA,2024-11-21,2024-11-25
18,7,CA,2024-12-31,2025-01-02
19,7,CA,2025-01-10,2025-01-15
20,7,CA,2025-02-28,2025-03-04
21,7,CA,2025-03-28,2025-04-02
22,7,CA,2025-05-09,2025-05-20
23,7,CA,2025-06-12,2025-06-16
24,10,CA,2024-09-26,2024-09-27
25,10,CA,2024-11-27,2024-11-27
26,10,CA,2025-01-21,2025-01-22
27,10,CA,2025-01-29,2025-01-29
28,10,CA,2025-02-10,2025-02-10
29,10,CA,2025-04-11,2025-04-15
30,10,CA,2025-04-29,2025-04-30
31,10,CA,2025-05-16,2025-05-16
32,10,CA,2025-05-22,2025-05-22
33,10,CA,2025-07-03,2025-07-03
34,10,CA,2025-07-21,2025-07-25
35,10,CA,2025-08-11,2025-08-13
36,11,CA,2024-09-04,2024-09-06
37,11,CA,2024-09-23,2024-09-24
38,11,CA,2024-10-04,2024-10-07
39,11,CA,2024-10-21,2024-10-21
40,11,CA,2024-12-06,2024-12-09
41,11,CA,2024-12-20,2024-12-23
42,11,CA,2025-02-17,2025-02-17
43,11,CA,2025-03-11,2025-03-11
44,11,CA,2025-05-06,2025-05-06
45,11,CA,2025-06-11,2025-06-11
46,11,CA,2025-08-20,2025-08-22
47,11,CA,2025-08-29,2025-08-29
48,18,CA,2024-09-18,2024-09-20
49,18,RTT,2024-10-15,2024-10-15
50,18,RTT,2024-12-18,2024-12-18
51,18,CA,2024-12-26,2024-12-27
52,18,CA,2025-01-17,2025-01-21
53,18,RTT,2025-01-23,2025-01-23
54,18,RTT,2025-01-27,2025-01-27
55,18,CA,2025-02-10,2025-02-19
56,18,RTT,2025-03-06,2025-03-06
57,18,RTT,2025-04-01,2025-04-02
58,18,CA,2025-04-15,2025-04-16
59,18,CA,2025-05-20,2025-05-21
60,18,RTT,2025-06-13,2025-06-13
61,18,RTT,2025-08-19,2025-08-19
62,18,CA,2025-08-27,2025-08-29
63,18,RTT,2025-08-27,2025-08-27
64,25,CA,2024-10-28,2024-10-30
65,25,CA,2025-01-27,2025-02-06
66,25,CA,2025-03-19,2025-03-21
67,25,CA,2025-03-25,2025-03-25
68,25,CA,2025-03-31,2025-04-03
69,25,CA,2025-05-28,2025-05-30
70,25,CA,2025-07-02,2025-07-08
71,25,CA,2025-07-16,2025-07-16
72,29,CA,2024-10-01,2024-10-02
73,29,CA,2024-11-21,2024-11-26
74,29,CA,2025-01-10,2025-01-13
75,29,CA,2025-01-20,2025-01-21
76,29,CA,2025-01-27,2025-01-29
77,29,CA,2025-03-24,2025-03-24
78,29,CA,2025-08-12,2025-08-14
79,29,CA,2025-08-18,2025-08-19
80,29,CA,2025-08-29,2025-08-29
81,30,RTT,2024-09-20,2024-09-23
82,30,CA,2024-10-23,2024-10-25
83,30,CA,2024-12-03,2024-12-05
84,30,RTT,2025-02-04,2025-02-04
85,30,RTT,2025-02-27,2025-02-27
86,30,CA,2025-03-13,2025-03-14
87,30,CA,2025-03-20,2025-03-24
88,30,CA,2025-04-11,2025-04-16
89,30,RTT,2025-05-12,2025-05-12
90,30,RTT,2025-06-06,2025-06-06
91,30,RTT,2025-07-01,2025-07-02
92,30,RTT,2025-07-07,2025-07-07
93,30,CA,2025-07-08,2025-07-09
94,30,CA,2025-07-22,2025-07-24
95,30,CA,2025-08-07,2025-08-12
96,31,CA,2024-09-24,2024-09-25
97,31,CA,2024-10-16,2024-10-17
98,31,CA,2024-11-06,2024-11-08
99,31,CA,2024-11-12,2024-11-18
100,31,CA,2025-01-29,2025-02-04
101,31,CA,2025-02-07,2025-02-07
102,31,CA,2025-03-18,2025-03-21
103,31,CA,2025-07-16,2025-07-17
104,31,CA,2025-08-19,2025-08-19
105,34,CA,2024-12-16,2024-12-17
106,34,CA,2025-01-13,2025-01-15
107,34,CA,2025-04-23,2025-04-23
108,34,CA,2025-04-25,2025-05-02
109,34,CA,2025-06-10,2025-06-12
110,34,CA,2025-08-07,2025-08-08
111,34,CA,2025-08-20,2025-08-20
112,35,CA,2024-09-16,2024-09-18
113,35,CA,2024-09-26,2024-10-02
114,35,CA,2024-11-14,2024-11-19
115,35,CA,2025-06-17,2025-06-18
116,35,CA,2025-07-21,2025-07-22
117,35,CA,2025-08-04,2025-08-08
118,35,CA,2025-08-14,2025-08-14
119,52,CA,2024-10-23,2024-10-23
120,52,CA,2024-11-26,2024-11-26
121,52,CA,2024-12-19,2024-12-20
122,52,CA,2025-01-29,2025-01-30
123,52,CA,2025-03-06,2025-03-11
124,52,CA,2025-03-27,2025-04-02
125,52,CA,2025-04-09,2025-04-10
126,52,CA,2025-05-13,2025-05-13
127,52,CA,2025-06-11,2025-06-12
128,52,CA,2025-08-11,2025-08-12
129,52,CA,2025-08-20,2025-08-21
130,61,CA,2024-09-24,2024-09-30
131,61,CA,2024-10-03,2024-10-04
132,61,CA,2024-11-13,2024-11-19
133,61,CA,2025-01-02,2025-01-07
134,61,CA,2025-03-12,2025-03-13
135,61,CA,2025-04-11,2025-04-14
136,62,CA,2024-10-14,2024-10-16
137,62,CA,2024-11-20,2024-11-20
138,62,CA,2024-12-09,2024-12-09
139,62,CA,2025-01-23,2025-01-24
140,62,CA,2025-02-13,2025-02-18
141,62,CA,2025-05-19,2025-05-21
142,62,CA,2025-07-03,2025-07-04
143,62,CA,2025-08-08,2025-08-08
144,62,CA,2025-08-13,2025-08-13
145,64,CA,2024-09-16,2024-09-20
146,64,CA,2024-11-14,2024-11-14
147,64,CA,2024-11-22,2024-11-22
148,64,CA,2024-12-30,2024-12-30
149,64,CA,2025-02-14,2025-02-14
150,64,CA,2025-03-14,2025-03-17
151,64,CA,2025-05-27,2025-06-04
152,64,CA,2025-07-01,2025-07-07
153,68,CA,2024-09-06,2024-09-10
154,68,CA,2024-09-17,2024-09-17
155,68,CA,2024-10-24,2024-10-25
156,68,CA,2025-01-14,2025-01-14
157,68,CA,2025-04-29,2025-04-30
158,68,CA,2025-06-24,2025-06-30
159,68,CA,2025-07-16,2025-07-21
160,68,CA,2025-07-28,2025-07-30
161,68,CA,2025-08-13,2025-08-13
162,68,CA,2025-08-27,2025-08-28
163,72,RTT,2024-09-04,2024-09-04
164,72,CA,2024-09-12,2024-09-12
165,72,RTT,2024-09-26,2024-09-27
166,72,CA,2024-10-03,2024-10-07
167,72,CA,2024-10-09,2024-10-11
168,72,CA,2024-10-24,2024-10-25
169,72,CA,2024-11-06,2024-11-07
170,72,RTT,2024-12-05,2024-12-05
171,72,CA,2025-01-30,2025-02-05
172,72,RTT,2025-02-12,2025-02-12
173,72,CA,2025-03-07,2025-03-13
