id,debut,fin,type,id_pers,id_emploi,part_temps,id_temps,plage_type,decompte_temps,exempt_nuit,exempt_astreinte,exempt_bloc
1,2001-05-23,2002-09-23,cdi,1,261,0.8,365,nuit,heures,0,1,1
2,2001-08-31,2002-03-31,cdi,2,105,1.0,165,jour,heures,1,1,1
3,2002-05-28,2002-12-28,cdi,2,105,1.0,165,jour,heures,0,1,1
4,2011-04-13,2011-10-13,cdd,3,238,0.8,338,astreinte,astreinte,0,0,1
5,2000-01-27,,cdi,4,216,0.6,309,forfait,jours,0,0,1
6,2002-09-17,2003-10-17,cdd,5,51,1.0,101,nuit,heures,0,1,1
7,2000-03-08,,cdi,6,286,1.0,402,jour,heures,0,1,0
8,2000-06-09,2001-11-09,cdd,7,221,0.8,318,nuit,heures,0,1,0
9,2002-03-02,2003-11-02,cdi,8,216,0.8,309,forfait,jours,0,1,1
10,2006-01-12,,cdi,9,191,1.0,266,jour,heures,1,1,1
11,2001-10-11,,cdi,10,31,1.0,67,jour,heures,1,0,1
12,2002-09-22,2004-07-22,cdi,11,205,0.5,295,nuit,heures,0,0,1
13,2004-08-29,2006-04-29,cdi,11,224,1.0,322,nuit,heures,0,0,1
14,2000-05-07,2001-07-07,cdi,12,297,1.0,414,forfait,jours,0,1,1
15,2001-09-03,2002-08-03,cdd,12,297,1.0,414,forfait,jours,1,1,1
16,2002-09-01,2003-12-01,cdd,12,297,1.0,414,forfait,jours,0,1,1
17,2004-01-14,2005-05-14,cdi,12,297,0.5,414,forfait,jours,0,1,1
18,2005-06-29,,cdi,12,297,1.0,414,forfait,jours,0,0,1
19,2001-08-14,2002-02-14,cdi,13,254,0.5,357,forfait,jours,0,1,1
20,2002-03-02,2002-10-02,apprenti,13,254,1.0,357,forfait,jours,0,1,1
21,2002-11-04,2003-11-04,cdi,13,254,1.0,357,forfait,jours,0,0,1
22,2000-05-18,2002-01-18,cdi,14,196,1.0,277,jour,heures,1,0,1
23,2002-02-09,2003-03-09,cdi,14,196,0.5,277,jour,heures,0,1,1
24,2001-05-19,2002-12-19,cdi,15,16,0.8,40,jour,heures,0,0,1
25,2002-06-09,,cdi,16,49,1.0,99,nuit,heures,0,1,1
26,2000-02-05,2001-07-05,cdi,17,263,1.0,371,astreinte,astreinte,0,0,0
27,2001-02-25,2001-07-25,cdd,18,256,1.0,359,jour,heures,0,1,1
28,2001-09-13,2003-05-13,cdi,18,256,1.0,359,jour,heures,0,1,1
29,2001-02-26,,cdi,19,260,1.0,364,nuit,heures,1,0,1
30,2000-08-13,,cdi,20,201,1.0,286,forfait,jours,0,0,0
31,2002-01-23,,cdi,21,299,1.0,416,nuit,heures,0,1,1
32,2011-12-07,2012-09-07,cdi,22,29,1.0,63,jour,heures,0,0,1
33,2002-02-28,2002-08-28,cdi,23,70,1.0,124,nuit,heures,0,0,1
34,2002-09-20,,cdi,23,70,0.8,123,jour,heures,0,1,1
35,2016-02-01,2025-12-01,cdd,24,256,1.0,360,nuit,heures,0,0,1
36,2002-01-04,2002-06-04,cdd,25,106,1.0,166,forfait,jours,0,1,1
37,2000-12-10,2001-10-10,cdd,26,61,1.0,111,jour,heures,1,1,1
38,2001-11-23,2002-11-23,cdi,27,75,1.0,132,jour,heures,0,1,1
39,2003-01-13,2004-09-13,cdi,27,28,1.0,61,jour,heures,1,0,1
