mois,famille,type_absence,type_contrat,catégorie,tranche_age,temps_du_total,temps_absence_total,taux_absence
2024-09,Absences non payées,Divers,cdi,Administratif/médical,Non défini,4335.0,578.0,13.333333333333334
2024-09,Accidentologie,Accident de travail,cdd,Médical,20-30 ans,2448.0,306.0,12.5
2024-09,Accidentologie,Accident de travail,cdd,Médical,30-40 ans,2448.0,306.0,12.5
2024-09,Accidentologie,Accident de travail,cdd,Techniques/bâtiment,40-50 ans,660.48,86.0,13.020833333333334
2024-09,Accidentologie,Accident de travail,cdi,Administratif/médical,20-30 ans,11424.0,1428.0,12.5
2024-09,Accidentologie,Accident de travail,cdi,Bloc opératoire,30-40 ans,2484.0,207.0,8.333333333333332
2024-09,Accidentologie,Accident de travail,cdi,Bloc opératoire,Non défini,13908.0,1635.0,11.755823986194995
2024-09,Accidentologie,Accident de travail,cdi,Information médicale,Non défini,1147.5,153.0,13.333333333333334
2024-09,Accidentologie,Accident de travail,cdi,Médical,20-30 ans,3978.0,510.0,12.82051282051282
2024-09,Accidentologie,Accident de travail,cdi,Médical,30-40 ans,4105.5,527.0,12.836438923395447
2024-09,Accidentologie,Accident de travail,cdi,Médical,Non défini,6160.5,801.0,13.002191380569759
2024-09,Accidentologie,Accident de travail,cdi,Psycho-social,Moins de 20 ans,660.48,86.0,13.020833333333334
2024-09,Accidentologie,Accident de travail,cdi,Rééducation,Non défini,1680.0,224.0,13.333333333333334
2024-09,Accidentologie,Accident de travail,cdi,Soins infirmiers,20-30 ans,960.0,80.0,8.333333333333332
2024-09,Accidentologie,Accident de travail,cdi,Soins infirmiers,Non défini,480.0,40.0,8.333333333333332
2024-09,Accidentologie,Accident de travail,cdi,Techniques/bâtiment,Non défini,896.0,112.0,12.5
2024-09,Accidentologie,Maladie professionnelle,cdd,Soins infirmiers,20-30 ans,768.0,64.0,8.333333333333332
2024-09,Aucune,Aucune,apprenti,Administratif,20-30 ans,60.0,0.0,0.0
2024-09,Aucune,Aucune,apprenti,Bloc opératoire,20-30 ans,367.0,31.0,8.446866485013624
2024-09,Aucune,Aucune,apprenti,Hygiène/Hôtellerie,20-30 ans,120.0,12.0,10.0
2024-09,Aucune,Aucune,apprenti,Laboratoire,20-30 ans,64.0,0.0,0.0
2024-09,Aucune,Aucune,apprenti,Logistique,20-30 ans,127.5,17.0,13.333333333333334
2024-09,Aucune,Aucune,apprenti,Médical,20-30 ans,139.2,14.0,10.057471264367816
2024-09,Aucune,Aucune,apprenti,Soins infirmiers,20-30 ans,464.5,34.0,7.319698600645856
2024-09,Aucune,Aucune,apprenti,Sécurité,20-30 ans,100.0,0.0,0.0
2024-09,Aucune,Aucune,cdd,Administratif,20-30 ans,690.5,71.0,10.282404055032584
